"project_id","project_location_id","precision_code","geoname_id","place_name","latitude","longitude","location_type_code","location_type_name","gazetteer_adm_code","gazetteer_adm_name","location_class","geographic_exactness","is_geocoded","project_title","start_actual_isodate","start_actual_type","end_actual_isodate","end_actual_type","donors","donors_iso3","recipients","recipients_iso3","ad_sector_codes","ad_sector_names","status","transactions_start_year","transactions_end_year","total_commitments","total_disbursements","even_split_commitments","even_split_disbursements"
"87292452230","87292452230_8617828","3","8617828","Maubara","-8.61667","125.2","ADM2","second-order administrative division","6295630|6255151|TL|LI|8617828","Earth|Oceania|East Timor|Liquiçá|Maubara","1","1","1","Programa Mós Bele - Cluster da Cooperação Portuguesa em Timor-Leste (7821)","2008-01-01","start-actual","","end-actual","Camões - Instituto Da Cooperacao E Da Lingua","POR","Timor-Leste","TLS","400","Multisector/cross-cutting","Implementation","2008","2016","1818700.62234","1539087.05514","1818700.62234","1539087.05514"
"87292401913","87292401913_7910187","3","7910187","Maubisse","-8.84232","125.63009","ADM2","second-order administrative division","6295630|6255151|TL|AN|7910187","Earth|Oceania|East Timor|Ainaro|Maubisse","1","1","1","Extension of Coffee Producers' Cooperative Model","","start-actual","","end-actual","Japan International Cooperation Agency","JPN","Timor-Leste","TLS","920","Support to non-governmental organisations (NGOs) and government organizations","Completion","2009","2012","473349.202793","439307.063661","473349.202793","439307.063661"
"87292401916","87292401916_7910187","3","7910187","Maubisse","-8.84232","125.63009","ADM2","second-order administrative division","6295630|6255151|TL|AN|7910187","Earth|Oceania|East Timor|Ainaro|Maubisse","1","1","1","Livelihood Improvement with Participation of Women in Coffee Producing Area","","start-actual","","end-actual","Japan International Cooperation Agency","JPN","Timor-Leste","TLS","920","Support to non-governmental organisations (NGOs) and government organizations","Completion","2010","2012","101923.879423","99512.64898","101923.879423","99512.64898"
"87292191278","87292191278_8628963","3","8628963","Nitibe","-9.34796","124.23333","ADM2","second-order administrative division","6295630|6255151|TL|OE|8628963","Earth|Oceania|East Timor|Oecusse|Nitibe","1","1","1","Prepara Ami ba Servisu","2007-01-09","start-actual","2010-01-07","end-actual","United States Agency for International Development","USA","Timor-Leste","TLS","110","Education","Completion","2007","2011","5500000.0","5846359.86761","5500000.0","5846359.86761"
"87292491572","87292491572_8628952","3","8628952","Same","-9.0","125.65","ADM2","second-order administrative division","6295630|6255151|TL|MF|8628952","Earth|Oceania|East Timor|Manufahi|Same","1","1","1","Completion of a full course primary schooling for the children out of school through educational environment improvement & secondary school construction in Same community","2011-02-16","start-actual","","end-actual","Korean International Cooperation Agency","KOR","Timor-Leste","TLS","920","Support to non-governmental organisations (NGOs) and government organizations","Implementation","2011","2011","113450.0","113450.0","113450.0","113450.0"
"87292491506","87292491506_8628955","3","8628955","Suai","-9.3","125.25","ADM2","second-order administrative division","6295630|6255151|TL|CO|8628955","Earth|Oceania|East Timor|Cova Lima|Suai","1","1","1","Geological Mapping of Suai district","2010-01-01","start-actual","","end-actual","Korean International Cooperation Agency","KOR","Timor-Leste","TLS","322","Mineral resources and mining","Completion","2010","2012","1736239.89288","2005383.2053","1736239.89288","2005383.2053"
"87292401925","87292401925_8617914","3","8617914","Vemasse","-8.51036","126.20823","ADM2","second-order administrative division","6295630|6255151|TL|BA|8617914","Earth|Oceania|East Timor|Baucau|Vemasse","1","1","1","Preparatory Survey for The Project for Rehabilitation of Buluto irrigation Scheme","","start-actual","","end-actual","Japan International Cooperation Agency","JPN","Timor-Leste","TLS","311","Agriculture","Implementation","2012","2014","802016.445004","602608.04034","802016.445004","602608.04034"
"87292191256","87292191256_7910183","3","7910183","Vera Cruz","-8.59239","125.56299","ADM2","second-order administrative division","6295630|6255151|TL|DI|7910183","Earth|Oceania|East Timor|Díli|Vera Cruz","1","1","1","Laletek (Bridge) Project","2010-03-15","start-actual","2012-03-14","end-actual","United States Agency for International Development","USA","Timor-Leste","TLS","150","Government and civil society","Completion","2010","2012","612790.550427","612790.550427","612790.550427","612790.550427"
"87292401900","87292401900_8617824","3","8617824","Zumalai","-9.1575","125.45056","ADM2","second-order administrative division","6295630|6255151|TL|CO|8617824","Earth|Oceania|East Timor|Cova Lima|Zumalai","1","1","1","The Project of Protection for the Existing Abutments and Piers of Mola Bridge","2013-03-21","start-actual","","end-actual","Japan International Cooperation Agency","JPN","Timor-Leste","TLS","210","Transport and storage","Implementation","2011","2013","873930.46","850147.987903","873930.46","850147.987903"
"87292404972","87292404972_8617824","3","8617824","Zumalai","-9.1575","125.45056","ADM2","second-order administrative division","6295630|6255151|TL|CO|8617824","Earth|Oceania|East Timor|Cova Lima|Zumalai","1","1","1","The Project of River Training for the protection of Mola Bridge (B/D, D/D)","2013-03-21","start-actual","2013-09-30","end-actual","Japan International Cooperation Agency","JPN","Timor-Leste","TLS","210","Transport and storage","Completion","2013","2013","738476.224431","671892.646042","738476.224431","671892.646042"
