"project_id","project_location_id","precision_code","geoname_id","place_name","latitude","longitude","location_type_code","location_type_name","gazetteer_adm_code","gazetteer_adm_name","location_class","geographic_exactness"
"87292191274","87292191274_1945255","1","1945255","Aiaras","-9.0025","125.35194","PPL","populated place","6295630|6255151|TL|BO|1945255","Earth|Oceania|East Timor|Bobonaro|Aiaras","2","1"
"87292391462","87292391462_1945203","1","1945203","Aiasa","-9.04375","125.31253","PPL","populated place","6295630|6255151|TL|BO|1945203","Earth|Oceania|East Timor|Bobonaro|Aiasa","2","1"
"87292481496","87292481496_1945203","1","1945203","Aiasa","-9.04375","125.31253","PPL","populated place","6295630|6255151|TL|BO|1945203","Earth|Oceania|East Timor|Bobonaro|Aiasa","2","1"
"87292191274","87292191274_8643265","1","8643265","Ai-Assa","-9.04055","125.31735","PPL","populated place","6295630|6255151|TL|8643265","Earth|Oceania|East Timor|Ai-Assa","2","1"
"87292191130","87292191130_1943878","1","1943878","Aidabaleten","-8.82778","125.14167","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Aidabaleten","2","1"
"87292191360","87292191360_1944023","1","1944023","Aidabaleten","-8.78417","125.10167","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Aidabaleten","2","1"
"87292441820","87292441820_1943878","1","1943878","Aidabaleten","-8.82778","125.14167","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Aidabaleten","2","1"
"87292643975","87292643975_1943878","1","1943878","Aidabaleten","-8.82778","125.14167","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Aidabaleten","2","1"
"87292934433","87292934433_1943878","1","1943878","Aidabaleten","-8.82778","125.14167","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Aidabaleten","2","1"
"87292191274","87292191274_1943692","1","1943692","Aidabasalala","-8.87278","125.18","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Aidabasalala","2","1"
"87292391462","87292391462_1943692","1","1943692","Aidabasalala","-8.87278","125.18","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Aidabasalala","2","1"
"87292441822","87292441822_1943692","1","1943692","Aidabasalala","-8.87278","125.18","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Aidabasalala","2","1"
"87292643982","87292643982_1943823","1","1943823","Aidac","-8.91056","126.28389","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Aidac","2","1"
"87292191274","87292191274_8643544","1","8643544","Aifro","-8.94496","125.39078","PPL","populated place","6295630|6255151|TL|8643544","Earth|Oceania|East Timor|Aifro","2","1"
"87292191287","87292191287_1944971","1","1944971","Aikurus","-8.6175","125.75806","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Aikurus","2","1"
"87292643975","87292643975_1945186","1","1945186","Ailebere","-8.71306","126.82278","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Ailebere","2","1"
"87292191130","87292191130_8629851","1","8629851","Ailelo","-8.80417","125.30833","PPL","populated place","6295630|6255151|TL|8629851","Earth|Oceania|East Timor|Ailelo","2","1"
"87292391462","87292391462_8629851","1","8629851","Ailelo","-8.80417","125.30833","PPL","populated place","6295630|6255151|TL|8629851","Earth|Oceania|East Timor|Ailelo","2","1"
"87292411770","87292411770_8629851","1","8629851","Ailelo","-8.80417","125.30833","PPL","populated place","6295630|6255151|TL|8629851","Earth|Oceania|East Timor|Ailelo","2","1"
"87292411782","87292411782_8629851","1","8629851","Ailelo","-8.80417","125.30833","PPL","populated place","6295630|6255151|TL|8629851","Earth|Oceania|East Timor|Ailelo","2","1"
"87292441822","87292441822_1944728","1","1944728","Ailisu","-8.93167","125.40278","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Ailisu","2","1"
"87292441822","87292441822_1937133","1","1937133","Ailora","-9.1159","125.63974","PPL","populated place","6295630|6255151|TL|AN|1937133","Earth|Oceania|East Timor|Ainaro|Ailora","2","1"
"87292441822","87292441822_1945104","1","1945104","Aiprado","-8.76694","125.35417","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Aiprado","2","1"
"87292191274","87292191274_1944706","1","1944706","Airae","-8.97389","125.38472","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Airae","2","1"
"87292191130","87292191130_1943145","1","1943145","Aissirimou","-8.72639","125.57111","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Aissirimou","2","1"
"87292191287","87292191287_1943145","1","1943145","Aissirimou","-8.72639","125.57111","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Aissirimou","2","1"
"87292643967","87292643967_1943145","1","1943145","Aissirimou","-8.72639","125.57111","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Aissirimou","2","1"
"87292191287","87292191287_8643639","1","8643639","Aitahan","-9.41052","125.17188","PPL","populated place","6295630|6255151|TL|8643639","Earth|Oceania|East Timor|Aitahan","2","1"
"87292191287","87292191287_8643296","1","8643296","Aitaman","-9.39344","125.17256","PPL","populated place","6295630|6255151|TL|8643296","Earth|Oceania|East Timor|Aitaman","2","1"
